name,domain,what,region,website,github,linkedin_org,community_url,events_url,linkedin_people,tags,related_to,source,founding_year,takes_contributors,careers_url,last_verified
360Giving,open-data,"360Giving is a charity that helps grantmakers publish and use open data about their funding, so people can see who is funding what and where.",national,https://www.threesixtygiving.org,,,,,,grants; open data; philanthropy; transparency,,threesixtygiving.org homepage (verified 2026-09-23),,,,2026-09-23
Apps for Good,education equity tech,"Apps for Good provides free creative technology courses that teachers can run in the classroom, aimed at preparing students for a changing world of work.",national,https://www.appsforgood.org,,,,,,education; courses; young people; digital skills,,appsforgood.org homepage (verified 2026-09-23),,,,2026-09-23
Big Brother Watch,human-rights tech,"Big Brother Watch campaigns against threats to privacy and civil liberties in the UK, including state surveillance and the collection of personal data.",national,https://bigbrotherwatch.org.uk,,,,,,privacy; civil liberties; surveillance; campaigning,,bigbrotherwatch.org.uk homepage (verified 2026-09-23),,,,2026-09-23
Centre for Public Data,open-data,The Centre for Public Data works to improve the UK's public data. It campaigns to fill gaps in data collection and to strengthen data provisions in new legislation.,national,https://www.centreforpublicdata.org,,,,,,public data; policy; campaigning; legislation,,centreforpublicdata.org homepage (verified 2026-09-23),,,,2026-09-23
Citizens Advice,legal-aid / justice tech,"Citizens Advice gives free, independent advice on benefits, debt, housing, employment, and consumer problems. The advice is published on its website and delivered by advisers in local offices across the UK.",national,https://www.citizensadvice.org.uk,,,,,,advice; benefits; debt; legal,,citizensadvice.org.uk homepage (verified 2026-09-23),,,,2026-09-23
Code Club,education equity tech,Code Club is a global community of free clubs where young people learn programming and digital making. It is part of the Raspberry Pi Foundation and provides projects and training for the volunteers who run clubs.,national,https://codeclub.org,,,,,,coding; clubs; young people; volunteers,Raspberry Pi Foundation,codeclub.org/about (verified 2026-09-23); raspberrypi.org (verified 2026-09-23),,,,2026-09-23
CoTech,worker-coop / platform-coop tech,"CoTech is a network of worker-owned technology co-operatives in the UK. Its members build software and digital services, and cooperate on client work and shared infrastructure.",national,https://www.coops.tech,,,,,,co-operatives; worker ownership; software; network,,coops.tech homepage (verified 2026-09-23),,,,2026-09-23
Crisis,housing / homelessness tech,Crisis is a national charity for people experiencing homelessness. It runs services for people who are homeless and campaigns for the policy changes needed to end homelessness.,national,https://www.crisis.org.uk,,,,,,homelessness; housing; charity; campaigning,,crisis.org.uk homepage (verified 2026-09-23),,,,2026-09-23
data.gov.uk,open-data,data.gov.uk is the UK government's home for public data. It brings datasets published by departments and public bodies together in one catalogue that anyone can search and download from.,national,https://www.data.gov.uk,,,,,,open data; government; catalogue; datasets,,data.gov.uk homepage (verified 2026-09-23),,,,2026-09-23
Democracy Club,civic-tech,"Democracy Club produces election data for the UK. It runs a national polling station finder and a candidate database, and publishes the underlying data for others to reuse.",national,https://democracyclub.org.uk,,,,,,elections; open data; civic tech; voting,,democracyclub.org.uk/about (verified 2026-09-23),2010,,,2026-09-23
Full Fact,journalism / media-tech,"Full Fact checks claims made online and in the news, and works with platforms, regulators, and researchers to reduce the harm caused by bad information.",national,https://fullfact.org,,,,,,fact checking; misinformation; journalism; research,,fullfact.org homepage (verified 2026-09-23),,,,2026-09-23
Good Things Foundation,digital-inclusion,"Good Things Foundation is a UK digital inclusion charity. It works with a network of local partners to help people get online, get hold of devices, and build the skills and confidence to use them.",national,https://www.goodthingsfoundation.org,,,,,,digital inclusion; digital skills; devices; charity,,goodthingsfoundation.org homepage (verified 2026-09-23),,,,2026-09-23
Government Digital Service,govtech,"The Government Digital Service is the digital centre of government. It builds and sets standards for UK public services online, including GOV.UK itself.",national,https://www.gov.uk/government/organisations/government-digital-service,,,,,,govtech; public services; standards; digital government,,gov.uk Government Digital Service page (verified 2026-09-23),,,,2026-09-23
Green Web Foundation,green / climate-tech,"The Green Web Foundation works towards a fossil-free internet. It runs a check and a hosting directory that show whether a website is served using green energy, and publishes the dataset behind them.",national,https://www.thegreenwebfoundation.org,,,,,,climate; green hosting; dataset; internet,,thegreenwebfoundation.org homepage and navigation (verified 2026-09-23),,,,2026-09-23
Homeless Link,housing / homelessness tech,Homeless Link is the national membership charity for organisations working directly with people who become homeless in England. It works to improve those services and campaigns for policy change.,national,https://homelesslink.org.uk,,,,,,homelessness; housing; membership; policy,,homelesslink.org.uk homepage (verified 2026-09-23),,,,2026-09-23
